relative_path,artifact_type,tracking,required,description
README.md,md,committed,yes,Completed Assignment 6 scope and reproduction instructions
WEATHER_CLIMATE_WALKTHROUGH.md,md,committed,yes,Methods results limitations and figure references
evidence/assignment_06_evidence_summary.md,md,committed,yes,Completed evidence summary
evidence/assignment_06_run_evidence.txt,txt,committed,yes,Execution and verification summary
source/nasa_power_daily_raw.json,json,committed,yes,Exact authentic NASA POWER response bytes
source/source_manifest.json,json,committed,yes,Source request checksums and authoritative input hashes
source/nasa_power_request.json,json,committed,yes,Normalized request metadata
source/nasa_power_response_metadata.json,json,committed,yes,Returned variable units fill values and grid metadata
source/representative_weather_point.geojson,geojson,committed,yes,Deterministic field-cluster request point
source/field_to_weather_point_distances.csv,csv,committed,yes,Distance evidence for all 25 fields
output/acquisition_provenance.json,json,committed,yes,Successful authentic import and prior failed-attempt history
output/climate_summary.json,json,committed,yes,Analysis summary checksums and key results
output/weather_data_quality.json,json,committed,yes,Weather quality-control summary
output/tables/*.csv,csv,committed,yes,Nine analytical and quality-control tables
output/visualizations/*.svg,svg,committed,yes,Six reviewable analytical figures
output/visualizations/*.png,png,generated,yes,Six reproducible raster figures generated during validation
output/dashboard_assets/*.png,png,generated,yes,Two reproducible dashboard assets generated during validation
notebooks/06_weather_climate_trends.ipynb,ipynb,committed,yes,Executed Assignment 6 notebook
verify_assignment_06.py,py,committed,yes,Independent integrity and analytical-consistency verifier
.github/workflows/assignment-06-validation.yml,yml,committed,yes,Clean-checkout regeneration and verification workflow
